County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Latitude,Longitude,Last_Update
Volusia,Florida,10,1,0,0.0000000,29.1693400,-81.5225100,2020-03-21 00:57 EDT
Seminole,Florida,10,2,0,0.0000000,28.7170014,-81.2363226,2020-03-21 00:57 EDT
Polk,Florida,9,5,0,0.0000000,27.9488782,-81.6977601,2020-03-21 00:57 EDT
Sarasota,Florida,8,2,0,0.0000000,27.3388900,-82.5388700,2020-03-21 00:57 EDT
Okaloosa,Florida,7,2,0,0.0000000,30.7070235,-86.5965082,2020-03-21 00:57 EDT
Pasco,Florida,7,2,0,0.0000000,28.3245300,-82.3362400,2020-03-21 00:57 EDT
St. Johns,Florida,7,3,0,0.0000000,30.1205100,-81.6253600,2020-03-21 00:57 EDT
Leon,Florida,4,0,1,0.2500000,30.4579680,-84.2779436,2020-03-21 00:57 EDT
Clay,Florida,4,0,2,0.5000000,29.9830552,-81.8577821,2020-03-21 00:57 EDT
Brevard,Florida,4,1,0,0.0000000,28.2934842,-80.7323563,2020-03-21 00:57 EDT
Hernando,Florida,4,0,0,0.0000000,28.5525038,-82.4193900,2020-03-21 00:57 EDT
Santa Rosa,Florida,3,1,1,0.3333333,30.7314761,-87.0176139,2020-03-21 00:57 EDT
Citrus,Florida,3,0,0,0.0000000,28.8507789,-82.4659487,2020-03-21 00:57 EDT
Lake,Florida,3,0,0,0.0000000,28.7626197,-81.7115535,2020-03-21 00:57 EDT
Walton,Florida,3,2,0,0.0000000,30.6593960,-86.1626806,2020-03-21 00:57 EDT
Indian River,Florida,3,2,0,0.0000000,27.6943965,-80.6061299,2020-03-21 00:57 EDT
Charlotte,Florida,2,1,0,0.0000000,26.9084833,-81.9034392,2020-03-21 00:57 EDT
Sumter,Florida,2,0,0,0.0000000,28.7047445,-82.0809939,2020-03-21 00:57 EDT
Gadsden,Florida,1,0,0,0.0000000,30.5794849,-84.6135174,2020-03-21 00:57 EDT
Nassau,Florida,1,0,0,0.0000000,30.6107767,-81.8017400,2020-03-21 00:57 EDT
Escambia,Florida,1,0,0,0.0000000,30.7004848,-87.3772215,2020-03-21 00:57 EDT
Jackson,Florida,1,0,0,0.0000000,30.7957297,-85.2183496,2020-03-21 00:57 EDT
Martin,Florida,1,0,0,0.0000000,27.0880973,-80.3831733,2020-03-21 00:57 EDT
Monroe,Florida,1,1,0,0.0000000,39.4921700,-91.7873800,2020-03-21 00:57 EDT
Oakland,Michigan,184,79,0,0.0000000,42.7421400,-83.1617400,2020-03-21 00:57 EDT
Detroit City,Michigan,149,74,2,0.0134228,42.3830900,-83.1021500,2020-03-21 00:57 EDT
Macomb,Michigan,86,31,0,0.0000000,42.6956500,-82.9217100,2020-03-21 00:57 EDT
Wayne,Michigan,67,23,1,0.0149254,42.2851500,-83.3836000,2020-03-21 00:57 EDT
Washtenaw,Michigan,16,2,0,0.0000000,42.2532294,-83.8387763,2020-03-21 00:57 EDT
Kent,Michigan,12,5,0,0.0000000,43.0321620,-85.5492982,2020-03-21 00:57 EDT
St. Clair,Michigan,7,3,0,0.0000000,42.8318900,-82.5022100,2020-03-21 00:57 EDT
Ingham,Michigan,7,1,0,0.0000000,42.5970924,-84.3735342,2020-03-21 00:57 EDT
Genesee,Michigan,4,4,0,0.0000000,43.0217016,-83.7067548,2020-03-21 00:57 EDT
Monroe,Michigan,3,1,0,0.0000000,41.9160600,-83.3979000,2020-03-21 00:57 EDT
Livingston,Michigan,3,2,0,0.0000000,42.6029182,-83.9115240,2020-03-21 00:57 EDT
Midland,Michigan,3,2,0,0.0000000,43.6468649,-84.3881103,2020-03-21 00:57 EDT
Eaton,Michigan,2,0,0,0.0000000,42.5960749,-84.8383207,2020-03-21 00:57 EDT
Montcalm,Michigan,1,0,0,0.0000000,43.3109547,-85.1525018,2020-03-21 00:57 EDT
Bay,Michigan,1,0,0,0.0000000,43.7073289,-83.9920371,2020-03-21 00:57 EDT
Charlevoix,Michigan,1,0,0,0.0000000,45.3165300,-85.2607200,2020-03-21 00:57 EDT
Ottawa,Michigan,1,0,0,0.0000000,42.9607123,-85.9951657,2020-03-21 00:57 EDT
Leelanau,Michigan,1,0,0,0.0000000,44.9384907,-85.8118234,2020-03-21 00:57 EDT
Otsego,Michigan,1,0,0,0.0000000,42.4606000,-85.6964000,2020-03-21 00:57 EDT
Jackson,Michigan,1,0,0,0.0000000,42.2484824,-84.4234498,2020-03-21 00:57 EDT
Clinton,Michigan,1,0,0,0.0000000,42.9436543,-84.6015142,2020-03-21 00:57 EDT
Out of State,Michigan,1,1,0,0.0000000,42.8978860,-86.2110453,2020-03-21 00:57 EDT
Orleans,Louisiana,326,77,10,0.0306748,30.0384318,-89.9005515,2020-03-21 00:57 EDT
Jefferson,Louisiana,104,35,2,0.0192308,29.9596000,-90.1718200,2020-03-21 00:57 EDT
Caddo,Louisiana,12,5,0,0.0000000,32.7563200,-93.9737400,2020-03-21 00:57 EDT
St. Tammany,Louisiana,12,2,0,0.0000000,30.3940800,-89.8950700,2020-03-21 00:57 EDT
St. Charles,Louisiana,7,3,0,0.0000000,29.9052798,-90.3824403,2020-03-21 00:57 EDT
Terrebonne,Louisiana,7,3,0,0.0000000,29.4300667,-90.8754618,2020-03-21 00:57 EDT
