County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
Okaloosa,Florida,14,2,0,0,0.0000000,30.7070235,-86.5965082,2020/03/22 22:06 EDT
Volusia,Florida,14,3,0,0,0.0000000,29.1693400,-81.5225100,2020/03/22 22:06 EDT
Manatee,Florida,13,0,1,1,0.0769231,27.4964300,-82.5395400,2020/03/22 22:06 EDT
Pasco,Florida,11,3,1,1,0.0909091,28.3245300,-82.3362400,2020/03/22 22:06 EDT
Polk,Florida,11,1,0,0,0.0000000,27.9488782,-81.6977601,2020/03/22 22:06 EDT
Citrus,Florida,8,0,0,0,0.0000000,28.8507789,-82.4659487,2020/03/22 22:06 EDT
Indian River,Florida,8,3,0,0,0.0000000,27.6943965,-80.6061299,2020/03/22 22:06 EDT
Clay,Florida,7,1,1,1,0.1428571,29.9830552,-81.8577821,2020/03/22 22:06 EDT
Brevard,Florida,7,2,0,0,0.0000000,28.2934842,-80.7323563,2020/03/22 22:06 EDT
Lake,Florida,6,2,0,0,0.0000000,28.7626197,-81.7115535,2020/03/22 22:06 EDT
Leon,Florida,5,1,1,1,0.2000000,30.4579680,-84.2779436,2020/03/22 22:06 EDT
Sumter,Florida,5,1,0,0,0.0000000,28.7047445,-82.0809939,2020/03/22 22:06 EDT
Hernando,Florida,5,-1,0,0,0.0000000,28.5525038,-82.4193900,2020/03/22 22:06 EDT
Santa Rosa,Florida,4,1,1,1,0.2500000,30.7314761,-87.0176139,2020/03/22 22:06 EDT
Escambia,Florida,4,3,0,0,0.0000000,30.7004848,-87.3772215,2020/03/22 22:06 EDT
Walton,Florida,4,0,0,0,0.0000000,30.6593960,-86.1626806,2020/03/22 22:06 EDT
Marion,Florida,3,1,0,0,0.0000000,29.2101870,-82.0566251,2020/03/22 22:06 EDT
St. Lucie,Florida,3,2,0,0,0.0000000,27.4894800,-80.3397700,2020/03/22 22:06 EDT
Charlotte,Florida,2,0,0,0,0.0000000,26.9084833,-81.9034392,2020/03/22 22:06 EDT
Nassau,Florida,2,1,0,0,0.0000000,30.6107767,-81.8017400,2020/03/22 22:06 EDT
Martin,Florida,2,1,0,0,0.0000000,27.0880973,-80.3831733,2020/03/22 22:06 EDT
Baker,Florida,2,1,0,0,0.0000000,30.3310297,-82.2845975,2020/03/22 22:06 EDT
Putnam,Florida,2,1,0,0,0.0000000,29.6112995,-81.7455407,2020/03/22 22:06 EDT
Gadsden,Florida,1,0,0,0,0.0000000,30.5794849,-84.6135174,2020/03/22 22:06 EDT
Jackson,Florida,1,0,0,0,0.0000000,30.7957297,-85.2183496,2020/03/22 22:06 EDT
Monroe,Florida,1,0,0,0,0.0000000,39.4921700,-91.7873800,2020/03/22 22:06 EDT
Bay,Florida,1,0,0,0,0.0000000,30.2787415,-85.6154798,2020/03/22 22:06 EDT
Highlands,Florida,1,1,0,0,0.0000000,27.3433300,-81.3411261,2020/03/22 22:06 EDT
Orleans,Louisiana,451,33,15,15,0.0332594,30.0384318,-89.9005515,2020/03/22 22:06 EDT
Jefferson,Louisiana,166,0,3,3,0.0180723,29.9596000,-90.1718200,2020/03/22 22:06 EDT
St. Tammany,Louisiana,22,0,0,0,0.0000000,30.3940800,-89.8950700,2020/03/22 22:06 EDT
East Baton Rouge,Louisiana,18,0,0,0,0.0000000,30.5392654,-91.0921701,2020/03/22 22:06 EDT
Caddo,Louisiana,15,0,0,0,0.0000000,32.7563200,-93.9737400,2020/03/22 22:06 EDT
St. Bernard,Louisiana,12,0,0,0,0.0000000,29.8671500,-89.8586800,2020/03/22 22:06 EDT
Ascension,Louisiana,12,0,0,0,0.0000000,30.2054934,-90.9088583,2020/03/22 22:06 EDT
Lafourche,Louisiana,11,0,0,0,0.0000000,29.7652900,-90.7688100,2020/03/22 22:06 EDT
Terrebonne,Louisiana,11,0,0,0,0.0000000,29.4300667,-90.8754618,2020/03/22 22:06 EDT
St. John the Baptist,Louisiana,9,0,0,0,0.0000000,30.0786650,-90.5454132,2020/03/22 22:06 EDT
St. Charles,Louisiana,7,0,0,0,0.0000000,29.9052798,-90.3824403,2020/03/22 22:06 EDT
Lafayette,Louisiana,6,0,0,0,0.0000000,30.2067882,-92.0638937,2020/03/22 22:06 EDT
Bossier,Louisiana,5,0,0,0,0.0000000,32.6788619,-93.6053107,2020/03/22 22:06 EDT
