County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Bartholomew,Indiana,39.2059499,-85.8975923,0,0,1,1,1,1,1,1,5,5,5,5,6,6,7,10,10,13,13,15,23
Barton,Kansas,38.4789723,-98.7564678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
Bartow,Georgia,34.2376440,-84.8407294,4,9,9,10,19,26,54,56,56,61,61,82,93,98,117,119,125,137,144,153,159
Bastrop,Texas,30.1036437,-97.3120115,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,6,6,6,10,10
Bates,Missouri,38.2572657,-94.3400421,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,2,3
Baxter,Arkansas,36.2867750,-92.3362488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Bay,Florida,30.2787415,-85.6154798,0,0,0,0,0,0,0,1,1,1,1,3,3,4,5,6,6,8,8,15,18
Bay,Michigan,43.7073289,-83.9920371,1,1,1,1,1,1,1,1,1,2,2,3,4,4,4,5,9,9,10,16,18
Bayfield,Wisconsin,46.5235899,-91.2008410,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3
Beadle,South Dakota,44.4144846,-98.2781099,1,1,1,1,1,4,4,4,10,12,12,13,14,16,16,20,20,20,21,21,21
Bear River,Utah,41.4582700,-112.2902300,0,0,0,1,1,3,0,0,0,0,0,6,6,7,0,0,13,0,0,0,0
Beaufort,North Carolina,35.4858900,-76.8443685,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,5,7,7,5,9
Beaufort,South Carolina,32.4311900,-80.6699300,0,3,3,4,6,7,8,13,14,21,21,26,29,35,39,50,74,91,91,130,131
Beauregard,Louisiana,30.6485016,-93.3433318,0,0,0,0,0,0,0,1,1,1,1,3,3,4,4,4,5,5,8,10,13
Beaver,Pennsylvania,40.6964000,-80.3019600,0,0,0,1,2,2,3,3,3,3,3,7,13,14,22,28,44,52,54,55,65
Beaver,Utah,38.3577021,-113.2357683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Beckham,Oklahoma,35.2686340,-99.6819170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Bedford,Pennsylvania,40.0065078,-78.4902914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
Bedford,Tennessee,35.5138047,-86.4589236,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,6,6
Bedford,Virginia,37.3151688,-79.5241963,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,2,2,3,3,3
Belknap,New Hampshire,43.5091960,-71.4307244,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,9,12,12,12,13,14
Bell,Texas,31.0376588,-97.4780738,1,1,2,2,3,6,7,8,10,16,16,19,20,25,28,28,36,44,44,51,51
Belmont,Ohio,40.0295500,-81.0389100,2,2,2,2,2,2,2,2,2,2,2,3,3,6,8,8,8,9,11,12,14
Beltrami,Minnesota,47.6461170,-95.0085500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4,4
Ben Hill,Georgia,33.6734000,-84.5348300,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,3
Bennington,Vermont,42.8767200,-73.1981800,1,2,3,3,3,3,3,4,4,4,4,11,11,15,15,16,16,18,18,17,19
Benton,Arkansas,36.3386803,-94.2672704,0,0,0,0,0,0,0,0,1,1,1,1,18,23,28,31,38,38,38,42,42
Benton,Indiana,40.6062507,-87.3109162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Benton,Iowa,42.0801687,-92.0657177,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,7,7,7,7,7
Benton,Minnesota,45.7211000,-93.9733000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benton,Mississippi,34.8171975,-89.1885365,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,4,5,5
Benton,Missouri,38.2989509,-93.2814396,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3
Benton,Oregon,44.4918359,-123.4292918,0,0,0,0,0,3,3,2,4,4,4,6,6,6,8,8,9,12,12,15,17
Benton,Tennessee,36.0660501,-88.0759671,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,4
Benton,Washington,46.2447027,-119.5147801,0,0,0,0,0,0,3,7,7,9,9,13,19,42,56,56,102,89,89,133,136
Benton-Franklin,Washington,38.5537800,-91.0009200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
