County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Beaufort,North Carolina,35.4858900,-76.8443685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaufort,South Carolina,32.4311900,-80.6699300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beauregard,Louisiana,30.6485016,-93.3433318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver,Pennsylvania,40.6964000,-80.3019600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver,Utah,38.3577021,-113.2357683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedford,Tennessee,35.5138047,-86.4589236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedford,Virginia,37.3151688,-79.5241963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belknap,New Hampshire,43.5091960,-71.4307244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell,Texas,31.0376588,-97.4780738,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Belmont,Ohio,40.0295500,-81.0389100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beltrami,Minnesota,47.6461170,-95.0085500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Hill,Georgia,33.6734000,-84.5348300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bennington,Vermont,42.8767200,-73.1981800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,Arkansas,36.3386803,-94.2672704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,Iowa,42.0801687,-92.0657177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,Minnesota,45.7211000,-93.9733000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,Mississippi,34.8171975,-89.1885365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,Missouri,38.2989509,-93.2814396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,Oregon,44.4918359,-123.4292918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,Tennessee,36.0660501,-88.0759671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,Washington,46.2447027,-119.5147801,0,0,0,0,0,0,1,2,2,3,3,4,4,5,5,5
Benton-Franklin,Washington,38.5537800,-91.0009200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bergen,New Jersey,40.9594915,-74.0744420,1,1,1,2,2,2,2,6,6,6,6,6,6,6,13,23
Berkeley,South Carolina,33.1861106,-79.9398336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,West Virginia,39.4640327,-78.0275232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berknap,New Hampshire,43.5091960,-71.4307244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berks,Pennsylvania,40.4163373,-75.9260454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkshire,Massachusetts,42.5110500,-73.1942600,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
Bernalillo,New Mexico,35.0512846,-106.6703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Berrien,Michigan,41.9546870,-86.4122229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bertie,North Carolina,36.0675098,-76.9738181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bexar,Texas,29.4489207,-98.5200077,0,0,0,0,0,0,0,0,1,1,1,3,3,5,5,5
Bibb,Georgia,32.8066359,-83.6977590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bienville,Louisiana,32.3472524,-93.0559190,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Big Stone,Minnesota,45.4261447,-96.4109648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bingham,Idaho,43.2186508,-112.3950328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Hawk,Iowa,42.4478000,-92.3814000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine,Idaho,43.4123346,-113.9798058,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Blair,Pennsylvania,40.4810720,-78.3485777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blanco,Texas,30.2663823,-98.3997593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bledsoe,Tennessee,35.5963882,-85.2052979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blount,Alabama,33.9808523,-86.5673912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blount,Tennessee,35.6866439,-83.9237776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue earth,Minnesota,43.9505000,-93.9878000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar,Mississippi,33.7957674,-90.8760289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bollinger,Missouri,37.3221502,-90.0258848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bon Homme,South Dakota,42.9933604,-97.8866697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bond,Illinois,38.8868247,-89.4355130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonner,Idaho,48.3097430,-116.6149142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonneville,Idaho,43.3877465,-111.6149492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,Arkansas,36.3055572,-93.0940322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,Indiana,40.0507449,-86.4686988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,Iowa,42.0364866,-93.9316386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,Kentucky,38.9677472,-84.7249887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,Missouri,38.9917440,-92.3091673,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Bossier,Louisiana,32.6788619,-93.6053107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botetourt,Virginia,37.5571518,-79.8122935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boulder,Colorado,40.0157400,-105.2792400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bourbon,Kansas,37.8552491,-94.8492721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourbon,Kentucky,38.2066795,-84.2171359,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Bowie,Texas,33.5590000,-97.8486000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Box Elder,Utah,41.5565387,-113.1681006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boyle,Kentucky,37.6243345,-84.8669331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bracken,Kentucky,38.6864029,-84.0906830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradford,Florida,29.9499643,-82.1687804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradford,Pennsylvania,41.7886220,-76.5155525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley,Arkansas,33.4664070,-92.1623419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley,Tennessee,35.1540652,-84.8595656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazoria,Texas,29.0497100,-95.5620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazos,Texas,30.6604858,-96.3020730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Breathitt,Kentucky,37.5215405,-83.3240653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breckinridge,Kentucky,37.7711165,-86.4276197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevard,Florida,28.2934842,-80.7323563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol,Massachusetts,41.7983696,-71.1142812,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bristol,Rhode Island,41.7180990,-71.2866149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol,Virginia,36.6129169,-82.1659098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadwater,Montana,46.2694000,-111.4520000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brockton,Massachusetts,42.0477500,-71.0206401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookings,South Dakota,44.3696792,-96.7904787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,Georgia,30.8421301,-83.5804426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broome,New York,42.1602180,-75.8196459,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3
Broomfield,Colorado,39.9359800,-105.0527000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broward,Florida,26.1522454,-80.4870534,0,0,0,2,1,1,1,3,3,3,3,3,3,5,11,11
