County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
Antrim,Michigan,4,0,0,0,0.0%,44.99908039300004,-85.14020693199996,2020-04-03 21:59 EDT
Huron,Michigan,4,0,0,0,0.0%,43.8333068380001,-83.0188931639999,2020-04-03 21:59 EDT
Wexford,Michigan,4,1,0,0,0.0%,44.33836176,-85.57838222,2020-04-03 21:59 EDT
Gogebic,Michigan,3,0,1,1,33.3%,46.408927934000104,-89.6945112809999,2020-04-03 21:59 EDT
Oceana,Michigan,3,1,0,0,0.0%,43.64089041,-86.2675668569999,2020-04-03 21:59 EDT
Osceola,Michigan,3,0,0,0,0.0%,43.9898326430001,-85.3252568979999,2020-04-03 21:59 EDT
Arenac,Michigan,2,1,0,0,0.0%,44.065459289000046,-83.89500344799995,2020-04-03 21:59 EDT
Clare,Michigan,2,1,0,0,0.0%,43.9878737,-84.84783104,2020-04-03 21:59 EDT
Gladwin,Michigan,2,0,0,0,0.0%,43.9906941,-84.38823148,2020-04-03 21:59 EDT
Mackinac,Michigan,2,1,0,0,0.0%,46.081649603000066,-85.09492449699997,2020-04-03 21:59 EDT
Newaygo,Michigan,2,0,0,0,0.0%,43.55418492,-85.80088959,2020-04-03 21:59 EDT
Ogemaw,Michigan,2,0,0,0,0.0%,44.33494161000011,-84.126424607,2020-04-03 21:59 EDT
Oscoda,Michigan,2,0,0,0,0.0%,44.681756044000046,-84.12973404299998,2020-04-03 21:59 EDT
Roscommon,Michigan,2,1,0,0,0.0%,44.33561169,-84.61161259999999,2020-04-03 21:59 EDT
Missaukee,Michigan,1,0,1,1,100.0%,44.3373128970001,-85.094675829,2020-04-03 21:59 EDT
Dickinson,Michigan,1,0,1,1,100.0%,46.009223988,-87.87027984299989,2020-04-03 21:59 EDT
Chippewa,Michigan,1,0,0,0,0.0%,46.30381924,-84.59406579,2020-04-03 21:59 EDT
Crawford,Michigan,1,0,0,0,0.0%,44.683617921999996,-84.610321673,2020-04-03 21:59 EDT
Houghton,Michigan,1,0,0,0,0.0%,46.897663355000105,-88.68764908,2020-04-03 21:59 EDT
Iosco,Michigan,1,0,0,0,0.0%,44.3558242330001,-83.63589798699999,2020-04-03 21:59 EDT
Leelanau,Michigan,1,0,0,0,0.0%,44.93849073,-85.81182341,2020-04-03 21:59 EDT
Manistee,Michigan,1,0,0,0,0.0%,44.33296585,-86.056664,2020-04-03 21:59 EDT
Luce,Michigan,1,1,0,0,0.0%,46.4706881800001,-85.544292632,2020-04-03 21:59 EDT
Presque Isle,Michigan,1,1,0,0,0.0%,45.33474000000007,-83.49219999999997,2020-04-03 21:59 EDT
Los Angeles,California,4566,521,89,89,1.9%,34.053490000000004,-118.24531999999999,2020-04-03 21:59 EDT
San Diego,California,1112,146,17,17,1.5%,32.71568,-117.16171000000001,2020-04-03 21:59 EDT
Santa Clara,California,1094,75,38,38,3.5%,37.35579,-121.95508999999998,2020-04-03 21:59 EDT
Orange,California,711,55,13,13,1.8%,33.78787,-117.85071,2020-04-03 21:59 EDT
Riverside,California,638,145,15,15,2.4%,33.98171,-117.37404,2020-04-03 21:59 EDT
San Francisco,California,497,47,7,7,1.4%,37.777120000000004,-122.41963999999999,2020-04-03 21:59 EDT
San Mateo,California,486,33,13,13,2.7%,37.54704,-122.31485,2020-04-03 21:59 EDT
Alameda,California,443,70,12,12,2.7%,37.76683,-122.2453,2020-04-03 21:59 EDT
Sacramento,California,390,49,10,10,2.6%,38.57944000000001,-121.49085,2020-04-03 21:59 EDT
San Bernardino,California,353,49,13,13,3.7%,34.10524,-117.29411999999999,2020-04-03 21:59 EDT
Contra Costa,California,307,31,3,3,1.0%,37.91793732,-121.9259354,2020-04-03 21:59 EDT
Kern,California,199,41,2,2,1.0%,35.34281638,-118.7299395,2020-04-03 21:59 EDT
Ventura,California,189,12,6,6,3.2%,34.28082,-119.29231999999999,2020-04-03 21:59 EDT
San Joaquin,California,180,7,10,10,5.6%,37.93479557,-121.2713112,2020-04-03 21:59 EDT
Santa Barbara,California,152,13,1,1,0.7%,34.41938,-119.69905,2020-04-03 21:59 EDT
Marin,California,131,13,6,6,4.6%,38.07188727,-122.7195348,2020-04-03 21:59 EDT
Fresno,California,100,6,1,1,1.0%,36.74084000000001,-119.78551999999999,2020-04-03 21:59 EDT
Placer,California,97,7,2,2,2.1%,39.05913563,-120.75363279999999,2020-04-03 21:59 EDT
Sonoma,California,95,4,2,2,2.1%,38.29188,-122.45728000000001,2020-04-03 21:59 EDT
San Luis Obispo,California,93,4,0,0,0.0%,35.28579000000001,-120.66275,2020-04-03 21:59 EDT
Tulare,California,81,7,2,2,2.5%,36.20649,-119.34305,2020-04-03 21:59 EDT
Solano,California,61,0,1,1,1.6%,38.27793363,-121.9272405,2020-04-03 21:59 EDT
Santa Cruz,California,59,2,1,1,1.7%,36.97424,-122.03098,2020-04-03 21:59 EDT
Monterey,California,53,5,2,2,3.8%,36.21714603,-121.2390196,2020-04-03 21:59 EDT
Imperial,California,52,9,1,1,1.9%,32.84748,-115.56952,2020-04-03 21:59 EDT
Stanislaus,California,51,1,0,0,0.0%,37.55932622,-120.9976619,2020-04-03 21:59 EDT
Humboldt,California,40,3,0,0,0.0%,40.69879803,-123.87371470000001,2020-04-03 21:59 EDT
Yolo,California,37,4,1,1,2.7%,38.73431,-121.81278999999999,2020-04-03 21:59 EDT
Nevada,California,30,4,0,0,0.0%,39.2616,-121.0161,2020-04-03 21:59 EDT
Madera,California,28,3,1,1,3.6%,36.96205,-120.06398999999999,2020-04-03 21:59 EDT
San Benito,California,23,0,2,2,8.7%,36.50506,-121.08332,2020-04-03 21:59 EDT
Napa,California,20,2,2,2,10.0%,38.50647693,-122.3306091,2020-04-03 21:59 EDT
El Dorado,California,19,1,0,0,0.0%,38.68217,-120.84683000000001,2020-04-03 21:59 EDT
Mono,California,18,0,1,1,5.6%,37.93749777,-118.8838882,2020-04-03 21:59 EDT
Merced,California,16,0,0,0,0.0%,37.19187429,-120.717739,2020-04-03 21:59 EDT
Sutter,California,14,0,1,1,7.1%,39.0346753900001,-121.694845711,2020-04-03 21:59 EDT
Shasta,California,11,0,1,1,9.1%,40.598279999999995,-122.49095,2020-04-03 21:59 EDT
Butte,California,10,1,0,0,0.0%,39.66709143,-121.60091100000001,2020-04-03 21:59 EDT
Inyo,California,10,0,0,0,0.0%,36.511060297,-117.41059195,2020-04-03 21:59 EDT
Yuba,California,8,0,0,0,0.0%,39.26918299,-121.3512653,2020-04-03 21:59 EDT
Kings,California,5,0,0,0,0.0%,36.075430705,-119.815354141,2020-04-03 21:59 EDT
Mendocino,California,4,0,0,0,0.0%,39.44024063,-123.3912784,2020-04-03 21:59 EDT
Amador,California,3,0,0,0,0.0%,38.44606535,-120.65175500000001,2020-04-03 21:59 EDT
Calaveras,California,3,0,0,0,0.0%,38.20473567,-120.55406550000001,2020-04-03 21:59 EDT
Siskiyou,California,3,0,0,0,0.0%,41.59256366,-122.54077720000001,2020-04-03 21:59 EDT
Glenn,California,2,0,0,0,0.0%,39.598279844000004,-122.392389048,2020-04-03 21:59 EDT
Tuolumne,California,2,0,0,0,0.0%,38.02764367200007,-119.954653631,2020-04-03 21:59 EDT
Alpine,California,1,0,0,0,0.0%,38.59733304900004,-119.82042125199995,2020-04-03 21:59 EDT
Colusa,California,1,0,0,0,0.0%,39.1775976810001,-122.237102265,2020-04-03 21:59 EDT
Plumas,California,1,0,0,0,0.0%,40.00070235500005,-120.83349825399996,2020-04-03 21:59 EDT
Del Norte,California,1,0,0,0,0.0%,41.74317575200007,-123.89711070599998,2020-04-03 21:59 EDT
Middlesex,Massachusetts,2202,332,38,38,1.7%,42.48559407,-71.3917913,2020-04-03 21:59 EDT
Suffolk,Massachusetts,2183,287,21,21,1.0%,42.33189157,-71.07537429,2020-04-03 21:59 EDT
Essex,Massachusetts,1238,199,23,23,1.9%,42.632509999999996,-70.78113,2020-04-03 21:59 EDT
